City,Prominent Pollutant,Stations Ratio,Predicted AQI
Saharsa,9,1.0,190.65
Salem,9,1.0,166.85
Samastipur,9,1.0,182.81
Sangli,5,1.0,125.43
Sasaram,9,1.0,231.77
Satna,5,1.0,150.94
Sawai Madhopur,9,1.0,192.9
Shivamogga,2,1.0,157.72
Sikar,5,1.0,171.56
Silchar,5,1.0,171.56
Siliguri,9,1.0,242.3
Singrauli,5,1.0,200.42
Sirohi,5,1.0,144.76
Sivasagar,5,1.0,100.66
Solapur,7,0.6666666666666666,179.64
Sri Ganganagar,9,1.0,231.24
Suakati,9,1.0,204.45
Talcher,9,1.0,191.28
Thane,6,1.0,113.78
Thiruvananthapuram,5,1.0,91.15
Thoothukudi,5,1.0,92.17
Tiruchirappalli,5,1.0,93.15
Tirumala,9,1.0,141.84
Tirunelveli,0,1.0,72.34
Tirupur,5,1.0,120.43
Tonk,5,1.0,116.92
Tumakuru,5,1.0,159.64
Tumidih,5,1.0,157.36
Udaipur,5,1.0,106.44
Udupi,5,1.0,88.74
Ujjain,5,1.0,84.72
Ulhasnagar,5,1.0,106.18
Vapi,9,1.0,191.09
Varanasi,7,1.0,126.59
Vatva,5,1.0,129.7
Vellore,9,1.0,143.77
Vijayawada,7,1.0,98.41
Virar,9,1.0,137.19
Vrindavan,5,1.0,130.41
Yadgir,9,1.0,126.66
